Brand Name,Generic Name,Manufacturer,Application Number,Dosage Form,Active Ingredients,Inactive Ingredients
SILICEA,SILICEA,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc",,,ACTIVE INGREDIENT SILICEA HPUS 2X and higher,INACTIVE INGREDIENTS Sucrose
Betadine,POVIDONE-IODINE,"Atlantis Consumer Healthcare, Inc.",M003,,"Drug Facts Active ingredients Povidone-iodine, 5% (0.5% available iodine)","Inactive ingredients pareth 25-9, purified water, sodium hydroxide Questions? 1-833-288-2684"
Moisturizing Antibacterial,BENZALKONIUM CHLORIDE,Walmart Inc.,505G(a)(3),,Active ingredient Benzalkonium chloride 0.13%,"Inactive ingredients water, lauramine oxide, cocamidopropyl betaine, lauramidopropylamine oxide, sodium chloride, myristamidopropylamine oxide, glycerin, fragrance, disteareth-75 IPDI, PEG-150 distearate, citric acid, tetrasodium EDTA, benzophenone-4, sodium benzoate, Citrus nobilis (mandarin orange) oil, Camellia sinensis leaf extract, Zingiber officinale (ginger) root oil, blue 1, yellow 5"
Quick Action,SALICYLIC ACID,Walmart Inc.,M006,,Active ingredient Salicylic acid 2%,"Inactive ingredients water, sodium cocoyl isethionate, cetearyl alcohol, laureth-3, glycerin, coconut acid, sodium isethionate, sodium hydroxide, fragrance, Lavandula stoechas extract, Helichrysum italicum extract, Cistus monspeliensis extract, disodium EDTA"
anti itch,HYDROCORTISONE,"Meijer, Inc.",M017,,Active ingredient Hydrocortisone 1%,"Inactive ingredients water, cetearyl alcohol, cetyl palmitate, glycerin, isopropyl myristate, isostearyl neopentanoate, ceteareth-20, diazolidinyl urea, sorbic acid, aloe barbadensis leaf juice, BHT sodium hydroxide"
Pain Reliever Extra Strength,ACETAMINOPHEN,Valu Merchandisers Company,M013,,Active ingredient (in each gelcap) Acetaminophen 500 mg,"Inactive ingredients croscarmellose sodium, D&C red #33, FD&C blue #1, FD&C red #40, gelatin, hydroxypropyl cellulose, hypromellose, iron oxide black, iron oxide red, iron oxide yellow, polyethylene glycol, povidone, pregelatinized starch, propylene glycol, shellac glaze, stearic acid, titanium dioxide"
OASIS Tears Lubricant Eye,GLYCERIN,"OASIS Medical, Inc.",M018,,Active Ingredients Glycerin (0.22%),"Inactive Ingredients EDTA, potassium sorbate, sodium chloride, sodium hyaluronate, sodium hydroxide, sodium phosphate dibasic, sodium phosphate monobasic, water"
"Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented",ALUMINUM CHLOROHYDRATE,"Sodalis USA, LLC",M019,,Active ingredient Aluminum Chlorohydrate 10% (anhydrous) Purpose Antiperspirant,"Inactive ingredients: Isobutane, Cyclopentasiloxane, Hydrofluorocarbon 152 A, Propane, Dimethicone, Propylene Carbonate, Disteardimonium Hectorite, Butane, Ethylene Brassylate."
VERADEX-E,PETROLATUM AND LANOLIN,"ABBE Laboratories, Inc.",M016,,Active Ingredients Petrolatum USP 58.95% Anhydrous Lanolin USP 35%,"Other ingredients: Tocopheryl Acetate, Cetyl Esters, Ethyl Methylphenylglycidate, Benzyl Cinnamate, Salicylic Acid."
Anticavity Rinse,SODIUM FLUORIDE,"Meijer Distribution, Inc.",M021,,Active ingredient Sodium fluoride 0.05% (0.02% w/v fluoride ion),"Inactive ingredients benzyl alcohol, calcium disodium EDTA, cetylpyridinium chloride, disodium EDTA, disodium phosphate, flavor, poloxamer 407, polysorbate 80, propylene glycol, red 33, sodium benzoate, sodium phosphate, sodium saccharin, sorbitol, water"
